Met Age[Gyr]   Teq[K] Mass[Me] f_env[%]    R_RCB[Re] R_20mbar[Re]  R_1nbar[Re] err_code
   1     0.01   278.00    20.00    10.00     5.190000     5.480000    5.880000        0
   1     0.01   278.00    20.00    20.00     6.770000     7.270000    7.890000        0
   1     0.01   494.36     1.00     0.10     1.290000     2.326508   20.702944        1
   1     0.01   494.36     1.00     0.20     1.410000     2.749141 1000.000000        1
   1     0.01   494.36     1.00     0.50     1.690000     4.043133 1000.000000        1
   1     0.01   494.36     1.00     1.00     1.990000     6.111244 1000.000000        1
   1     0.01   494.36     1.00     2.00     2.370000    13.043539 1000.000000        1
   1     0.01   494.36     1.00     5.00     3.170000  1000.000000 1000.000000        1
   1     0.01   494.36     1.00    10.00     4.360000  1000.000000 1000.000000        1
   1     0.01   494.36     1.00    20.00     6.290000  1000.000000 1000.000000        1
   1     0.01   494.36     2.00     0.10     1.530000     2.100000    3.520000        0
   1     0.01   494.36     2.00     0.20     1.660000     2.370000    4.350000        0
   1     0.01   494.36     2.00     0.50     1.980000     3.110000    7.820000        0
   1     0.01   494.36     2.00     1.00     2.360000     3.892865   14.905841        1
   1     0.01   494.36     2.00     2.00     2.930000     5.821669 1000.000000        1
   1     0.01   494.36     2.00     5.00     4.060000    12.580597 1000.000000        1
   1     0.01   494.36     2.00    10.00     5.350000    33.865404 1000.000000        1
   1     0.01   494.36     2.00    20.00     7.260000  1000.000000 1000.000000        1
   1     0.01   494.36     3.00     0.10     1.670000     2.060000    2.790000        0
   1     0.01   494.36     3.00     0.20     1.820000     2.290000    3.240000        0
   1     0.01   494.36     3.00     0.50     2.120000     2.790000    4.340000        0
   1     0.01   494.36     3.00     1.00     2.470000     3.450000    6.180000        0
   1     0.01   494.36     3.00     2.00     3.010000     4.650000   11.500000        0
   1     0.01   494.36     3.00     5.00     4.280000     8.048419 1000.000000        1
   1     0.01   494.36     3.00    10.00     5.950000    15.641358 1000.000000        1
   1     0.01   494.36     3.00    20.00     8.470000    47.320092 1000.000000        1
   1     0.01   494.36     4.00     0.10     1.760000     2.070000    2.580000        0
   1     0.01   494.36     4.00     0.20     1.930000     2.290000    2.930000        0
   1     0.01   494.36     4.00     0.50     2.220000     2.700000    3.640000        0
   1     0.01   494.36     4.00     1.00     2.540000     3.210000    4.630000        0
   1     0.01   494.36     4.00     2.00     3.050000     4.080000    6.660000        0
   1     0.01   494.36     4.00     5.00     4.240000     6.630000   17.700000        0
   1     0.01   494.36     4.00    10.00     5.950000    11.042451  732.201296        1
   1     0.01   494.36     4.00    20.00     8.850000    24.566014 1000.000000        1
   1     0.01   494.36     5.00     0.10     1.910000     2.170000    2.600000        0
   1     0.01   494.36     5.00     0.20     2.020000     2.310000    2.810000        0
   1     0.01   494.36     5.00     0.50     2.290000     2.680000    3.360000        0
   1     0.01   494.36     5.00     1.00     2.600000     3.110000    4.080000        0
   1     0.01   494.36     5.00     2.00     3.070000     3.820000    5.380000        0
   1     0.01   494.36     5.00     5.00     4.200000     5.750000   10.060000        0
   1     0.01   494.36     5.00    10.00     5.800000     9.210000   27.800000        0
   1     0.01   494.36     5.00    20.00     8.660000    17.249778 1000.000000        1
   1     0.01   494.36     6.00     0.10     1.950000     2.180000    2.530000        0
   1     0.01   494.36     6.00     0.20     2.090000     2.340000    2.750000        0
   1     0.01   494.36     6.00     0.50     2.360000     2.680000    3.220000        0
   1     0.01   494.36     6.00     1.00     2.650000     3.070000    3.810000        0
   1     0.01   494.36     6.00     2.00     3.110000     3.700000    4.820000        0
   1     0.01   494.36     6.00     5.00     4.170000     5.310000    7.890000        0
   1     0.01   494.36     6.00    10.00     5.660000     7.950000   15.100000        0
   1     0.01   494.36     6.00    20.00     8.310000    13.740000   56.310000        0
   1     0.01   494.36     8.00     0.10     2.080000     2.260000    2.530000        0
   1     0.01   494.36     8.00     0.20     2.210000     2.410000    2.730000        0
   1     0.01   494.36     8.00     0.50     2.460000     2.710000    3.110000        0
   1     0.01   494.36     8.00     1.00     2.740000     3.050000    3.570000        0
   1     0.01   494.36     8.00     2.00     3.170000     3.580000    4.310000        0
   1     0.01   494.36     8.00     5.00     4.130000     4.860000    6.260000        0
   1     0.01   494.36     8.00    10.00     5.440000     6.760000    9.630000        0
   1     0.01   494.36     8.00    20.00     7.600000    10.440000   17.890000        0
   1     0.01   494.36    10.00     0.10     2.190000     2.340000    2.570000        0
   1     0.01   494.36    10.00     0.20     2.310000     2.480000    2.740000        0
   1     0.01   494.36    10.00     0.50     2.550000     2.750000    3.070000        0
   1     0.01   494.36    10.00     1.00     2.820000     3.060000    3.470000        0
   1     0.01   494.36    10.00     2.00     3.230000     3.550000    4.090000        0
   1     0.01   494.36    10.00     5.00     4.120000     4.650000    5.610000        0
   1     0.01   494.36    10.00    10.00     5.260000     6.230000    7.970000        0
   1     0.01   494.36    10.00    20.00     7.270000     9.120000   12.800000        0
   1     0.01   494.36    13.00     0.10     2.320000     2.440000    2.630000        0
   1     0.01   494.36    13.00     0.20     2.440000     2.570000    2.780000        0
   1     0.01   494.36    13.00     0.50     2.670000     2.820000    3.080000        0
   1     0.01   494.36    13.00     1.00     2.920000     3.110000    3.420000        0
   1     0.01   494.36    13.00     2.00     3.310000     3.550000    3.960000        0
   1     0.01   494.36    13.00     5.00     4.140000     4.520000    5.190000        0
   1     0.01   494.36    13.00    10.00     5.190000     5.860000    6.960000        0
   1     0.01   494.36    13.00    20.00     7.000000     8.190000   10.210000        0
   1     0.01   494.36    16.00     0.10     2.420000     2.530000    2.690000        0
   1     0.01   494.36    16.00     0.20     2.540000     2.650000    2.830000        0
   1     0.01   494.36    16.00     0.50     2.760000     2.890000    3.110000        0
   1     0.01   494.36    16.00     1.00     3.010000     3.160000    3.430000        0
   1     0.01   494.36    16.00     2.00     3.380000     3.570000    3.910000        0
   1     0.01   494.36    16.00     5.00     4.170000     4.480000    5.000000        0
   1     0.01   494.36    16.00    10.00     5.180000     5.700000    6.520000        0
   1     0.01   494.36    16.00    20.00     6.850000     7.740000    9.130000        0
   1     0.01   494.36    20.00     0.10     2.540000     2.630000    2.770000        0
   1     0.01   494.36    20.00     0.20     2.660000     2.750000    2.900000        0
   1     0.01   494.36    20.00     0.50     2.870000     2.980000    3.160000        0
   1     0.01   494.36    20.00     1.00     3.110000     3.240000    3.460000        0
   1     0.01   494.36    20.00     2.00     3.470000     3.620000    3.900000        0
   1     0.01   494.36    20.00     5.00     4.240000     4.470000    4.880000        0
   1     0.01   494.36    20.00    10.00     5.190000     5.590000    6.210000        0
   1     0.01   494.36    20.00    20.00     6.780000     7.450000    8.450000        0
   1     0.01   879.11     1.00     0.10     1.210000     3.610212 1000.000000        1
   1     0.01   879.11     1.00     0.20     1.300000     4.451923 1000.000000        1
   1     0.01   879.11     1.00     0.50     1.540000     8.829256 1000.000000        1
   1     0.01   879.11     1.00     1.00     1.820000    38.479767 1000.000000        1
   1     0.01   879.11     1.00     2.00     2.190000  1000.000000 1000.000000        1
   1     0.01   879.11     1.00     5.00     3.040000  1000.000000 1000.000000        1
   1     0.01   879.11     1.00    10.00     4.210000  1000.000000 1000.000000        1
   1     0.01   879.11     1.00    20.00     6.110000  1000.000000 1000.000000        1
   1     0.01   879.11     2.00     0.10     1.470000     2.449946   15.158278        1
   1     0.01   879.11     2.00     0.20     1.610000     2.844129   91.054071        1
   1     0.01   879.11     2.00     0.50     1.920000     3.907732 1000.000000        1
   1     0.01   879.11     2.00     1.00     2.280000     5.566939 1000.000000        1
   1     0.01   879.11     2.00     2.00     2.800000     9.838730 1000.000000        1
   1     0.01   879.11     2.00     5.00     3.840000    89.676885 1000.000000        1
   1     0.01   879.11     2.00    10.00     5.080000  1000.000000 1000.000000        1
   1     0.01   879.11     2.00    20.00     7.090000  1000.000000 1000.000000        1
   1     0.01   879.11     3.00     0.10     1.630000     2.350000    5.060000        0
   1     0.01   879.11     3.00     0.20     1.780000     2.604312    6.372185        1
   1     0.01   879.11     3.00     0.50     2.080000     3.265566   12.771060        1
   1     0.01   879.11     3.00     1.00     2.430000     4.154132   69.679826        1
   1     0.01   879.11     3.00     2.00     2.960000     5.910543 1000.000000        1
   1     0.01   879.11     3.00     5.00     4.180000    13.365043 1000.000000        1
   1     0.01   879.11     3.00    10.00     5.760000    52.673587 1000.000000        1
   1     0.01   879.11     3.00    20.00     8.190000  1000.000000 1000.000000        1
   1     0.01   879.11     4.00     0.10     1.800000     2.350000    3.930000        0
   1     0.01   879.11     4.00     0.20     1.900000     2.560000    4.530000        0
   1     0.01   879.11     4.00     0.50     2.190000     3.090000    6.530000        0
   1     0.01   879.11     4.00     1.00     2.520000     3.702195    9.961894        1
   1     0.01   879.11     4.00     2.00     3.020000     4.856615   26.709413        1
   1     0.01   879.11     4.00     5.00     4.240000     8.782466 1000.000000        1
   1     0.01   879.11     4.00    10.00     5.940000    18.766144 1000.000000        1
   1     0.01   879.11     4.00    20.00     8.750000    65.806091 1000.000000        1
   1     0.01   879.11     5.00     0.10     1.850000     2.310000    3.370000        0
   1     0.01   879.11     5.00     0.20     2.000000     2.530000    3.850000        0
   1     0.01   879.11     5.00     0.50     2.280000     2.970000    4.990000        0
   1     0.01   879.11     5.00     1.00     2.590000     3.520000    6.770000        0
   1     0.01   879.11     5.00     2.00     3.060000     4.393040   10.752546        1
   1     0.01   879.11     5.00     5.00     4.220000     7.120634  109.347853        1
   1     0.01   879.11     5.00    10.00     5.880000    12.699471 1000.000000        1
   1     0.01   879.11     5.00    20.00     8.800000    28.839408 1000.000000        1
   1     0.01   879.11     6.00     0.10     1.940000     2.330000    3.170000        0
   1     0.01   879.11     6.00     0.20     2.080000     2.520000    3.540000        0
   1     0.01   879.11     6.00     0.50     2.340000     2.920000    4.360000        0
   1     0.01   879.11     6.00     1.00     2.650000     3.400000    5.520000        0
   1     0.01   879.11     6.00     2.00     3.110000     4.190000    7.920000        0
   1     0.01   879.11     6.00     5.00     4.200000     6.307716   20.333398        1
   1     0.01   879.11     6.00    10.00     5.770000    10.223793 1000.000000        1
   1     0.01   879.11     6.00    20.00     8.600000    19.709822 1000.000000        1
   1     0.01   879.11     8.00     0.10     2.070000     2.380000    2.990000        0
   1     0.01   879.11     8.00     0.20     2.200000     2.550000    3.260000        0
   1     0.01   879.11     8.00     0.50     2.460000     2.890000    3.830000        0
   1     0.01   879.11     8.00     1.00     2.750000     3.290000    4.560000        0
   1     0.01   879.11     8.00     2.00     3.180000     3.930000    5.860000        0
   1     0.01   879.11     8.00     5.00     4.170000     5.530000   10.120000        0
   1     0.01   879.11     8.00    10.00     5.570000     8.120000   22.610000        0
   1     0.01   879.11     8.00    20.00     8.100000    13.389184  265.817861        1
   1     0.01   879.11    10.00     0.10     2.180000     2.440000    2.930000        0
   1     0.01   879.11    10.00     0.20     2.310000     2.600000    3.160000        0
   1     0.01   879.11    10.00     0.50     2.550000     2.900000    3.610000        0
   1     0.01   879.11    10.00     1.00     2.830000     3.260000    4.180000        0
   1     0.01   879.11    10.00     2.00     3.240000     3.820000    5.130000        0
   1     0.01   879.11    10.00     5.00     4.170000     5.140000    7.750000        0
   1     0.01   879.11    10.00    10.00     5.440000     7.150000   12.910000        0
   1     0.01   879.11    10.00    20.00     7.730000    11.090000   29.830000        0
   1     0.01   879.11    13.00     0.10     2.310000     2.530000    2.910000        0
   1     0.01   879.11    13.00     0.20     2.430000     2.670000    3.100000        0
   1     0.01   879.11    13.00     0.50     2.670000     2.940000    3.480000        0
   1     0.01   879.11    13.00     1.00     2.930000     3.260000    3.930000        0
   1     0.01   879.11    13.00     2.00     3.330000     3.760000    4.660000        0
   1     0.01   879.11    13.00     5.00     4.190000     4.880000    6.460000        0
   1     0.01   879.11    13.00    10.00     5.350000     6.470000    9.370000        0
   1     0.01   879.11    13.00    20.00     7.400000     9.440000   15.870000        0
   1     0.01   879.11    16.00     0.10     2.420000     2.600000    2.930000        0
   1     0.01   879.11    16.00     0.20     2.530000     2.740000    3.100000        0
   1     0.01   879.11    16.00     0.50     2.770000     3.000000    3.430000        0
   1     0.01   879.11    16.00     1.00     3.020000     3.300000    3.830000        0
   1     0.01   879.11    16.00     2.00     3.400000     3.750000    4.440000        0
   1     0.01   879.11    16.00     5.00     4.230000     4.760000    5.910000        0
   1     0.01   879.11    16.00    10.00     5.320000     6.160000    8.090000        0
   1     0.01   879.11    16.00    20.00     7.200000     8.640000   12.320000        0
   1     0.01   879.11    20.00     0.10     2.540000     2.700000    2.970000        0
   1     0.01   879.11    20.00     0.20     2.660000     2.820000    3.120000        0
   1     0.01   879.11    20.00     0.50     2.880000     3.070000    3.420000        0
   1     0.01   879.11    20.00     1.00     3.130000     3.350000    3.780000        0
   1     0.01   879.11    20.00     2.00     3.490000     3.770000    4.310000        0
   1     0.01   879.11    20.00     5.00     4.290000     4.700000    5.550000        0
   1     0.01   879.11    20.00    10.00     5.320000     5.970000    7.310000        0
   1     0.01   879.11    20.00    20.00     7.020000     8.090000   10.410000        0
   1     0.01  1563.31     1.00     0.10     1.070000  1000.000000 1000.000000        1
   1     0.01  1563.31     1.00     0.20     1.160000  1000.000000 1000.000000        1
   1     0.01  1563.31     1.00     0.50     1.340000  1000.000000 1000.000000        1
   1     0.01  1563.31     1.00     1.00     1.670000  1000.000000 1000.000000        1
   1     0.01  1563.31     1.00     2.00     1.950000  1000.000000 1000.000000        1
   1     0.01  1563.31     1.00     5.00     2.750000  1000.000000 1000.000000        1
   1     0.01  1563.31     1.00    10.00     4.220000  1000.000000 1000.000000        1
   1     0.01  1563.31     1.00    20.00     7.460000  1000.000000 1000.000000        1
   1     0.01  1563.31     2.00     0.10     1.370000     3.922578 1000.000000        1
   1     0.01  1563.31     2.00     0.20     1.470000     4.657405 1000.000000        1
   1     0.01  1563.31     2.00     0.50     1.770000     8.310751 1000.000000        1
   1     0.01  1563.31     2.00     1.00     2.160000    68.186961 1000.000000        1
   1     0.01  1563.31     2.00     2.00     2.530000  1000.000000 1000.000000        1
   1     0.01  1563.31     2.00     5.00     3.440000  1000.000000 1000.000000        1
   1     0.01  1563.31     2.00    10.00     4.560000  1000.000000 1000.000000        1
   1     0.01  1563.31     2.00    20.00     6.920000  1000.000000 1000.000000        1
   1     0.01  1563.31     3.00     0.10     1.540000     2.983983 1000.000000        1
   1     0.01  1563.31     3.00     0.20     1.690000     3.523422 1000.000000        1
   1     0.01  1563.31     3.00     0.50     2.000000     4.862572 1000.000000        1
   1     0.01  1563.31     3.00     1.00     2.430000     8.664415 1000.000000        1
   1     0.01  1563.31     3.00     2.00     2.850000    15.690836 1000.000000        1
   1     0.01  1563.31     3.00     5.00     3.910000  1000.000000 1000.000000        1
   1     0.01  1563.31     3.00    10.00     5.240000  1000.000000 1000.000000        1
   1     0.01  1563.31     3.00    20.00     7.550000  1000.000000 1000.000000        1
   1     0.01  1563.31     4.00     0.10     1.770000     3.019999   39.724219        1
   1     0.01  1563.31     4.00     0.20     1.880000     3.302034 1000.000000        1
   1     0.01  1563.31     4.00     0.50     2.200000     4.249045 1000.000000        1
   1     0.01  1563.31     4.00     1.00     2.560000     5.861264 1000.000000        1
   1     0.01  1563.31     4.00     2.00     3.070000     8.915381 1000.000000        1
   1     0.01  1563.31     4.00     5.00     4.250000    35.787244 1000.000000        1
   1     0.01  1563.31     4.00    10.00     5.770000  1000.000000 1000.000000        1
   1     0.01  1563.31     4.00    20.00     8.300000  1000.000000 1000.000000        1
   1     0.01  1563.31     5.00     0.10     1.830000     2.771376    8.609933        1
   1     0.01  1563.31     5.00     0.20     1.990000     3.117799   12.773353        1
   1     0.01  1563.31     5.00     0.50     2.300000     3.836215   63.044042        1
   1     0.01  1563.31     5.00     1.00     2.650000     4.926061 1000.000000        1
   1     0.01  1563.31     5.00     2.00     3.150000     6.754920 1000.000000        1
   1     0.01  1563.31     5.00     5.00     4.360000    15.407806 1000.000000        1
   1     0.01  1563.31     5.00    10.00     5.980000    84.370269 1000.000000        1
   1     0.01  1563.31     5.00    20.00     8.700000  1000.000000 1000.000000        1
   1     0.01  1563.31     6.00     0.10     1.920000     2.740000    6.220000        0
   1     0.01  1563.31     6.00     0.20     2.070000     3.004355    7.656324        1
   1     0.01  1563.31     6.00     0.50     2.370000     3.598526   13.503365        1
   1     0.01  1563.31     6.00     1.00     2.720000     4.469705   46.233333        1
   1     0.01  1563.31     6.00     2.00     3.200000     5.796720 1000.000000        1
   1     0.01  1563.31     6.00     5.00     4.380000    10.816433 1000.000000        1
   1     0.01  1563.31     6.00    10.00     6.040000    26.918066 1000.000000        1
   1     0.01  1563.31     6.00    20.00     8.900000  1000.000000 1000.000000        1
   1     0.01  1563.31     8.00     0.10     2.070000     2.700000    4.590000        0
   1     0.01  1563.31     8.00     0.20     2.220000     2.940000    5.320000        0
   1     0.01  1563.31     8.00     0.50     2.500000     3.420000    7.160000        0
   1     0.01  1563.31     8.00     1.00     2.830000     4.040640   10.419728        1
   1     0.01  1563.31     8.00     2.00     3.280000     4.958383   19.874088        1
   1     0.01  1563.31     8.00     5.00     4.390000     7.832193 1000.000000        1
   1     0.01  1563.31     8.00    10.00     5.960000    13.685485 1000.000000        1
   1     0.01  1563.31     8.00    20.00     8.800000  1000.000000 1000.000000        1
   1     0.01  1563.31    10.00     0.10     2.180000     2.700000    4.030000        0
   1     0.01  1563.31    10.00     0.20     2.320000     2.910000    4.510000        0
   1     0.01  1563.31    10.00     0.50     2.600000     3.320000    5.580000        0
   1     0.01  1563.31    10.00     1.00     2.910000     3.840000    7.180000        0
   1     0.01  1563.31    10.00     2.00     3.390000     4.680000   10.760000        0
   1     0.01  1563.31    10.00     5.00     4.380000     6.682437   30.983906        1
   1     0.01  1563.31    10.00    10.00     5.860000    10.400182 1000.000000        1
   1     0.01  1563.31    10.00    20.00     8.530000  1000.000000 1000.000000        1
   1     0.01  1563.31    13.00     0.10     2.320000     2.740000    3.690000        0
   1     0.01  1563.31    13.00     0.20     2.450000     2.920000    4.020000        0
   1     0.01  1563.31    13.00     0.50     2.720000     3.280000    4.730000        0
   1     0.01  1563.31    13.00     1.00     3.020000     3.710000    5.670000        0
   1     0.01  1563.31    13.00     2.00     3.470000     4.400000    7.420000        0
   1     0.01  1563.31    13.00     5.00     4.490000     6.110000   13.580000        0
   1     0.01  1563.31    13.00    10.00     5.740000     8.447141   30.911178        1
   1     0.01  1563.31    13.00    20.00     8.180000  1000.000000 1000.000000        1
   1     0.01  1563.31    16.00     0.10     2.430000     2.790000    3.540000        0
   1     0.01  1563.31    16.00     0.20     2.560000     2.950000    3.810000        0
   1     0.01  1563.31    16.00     0.50     2.820000     3.280000    4.360000        0
   1     0.01  1563.31    16.00     1.00     3.110000     3.670000    5.080000        0
   1     0.01  1563.31    16.00     2.00     3.550000     4.270000    6.290000        0
   1     0.01  1563.31    16.00     5.00     4.530000     5.730000    9.840000        0
   1     0.01  1563.31    16.00    10.00     5.840000     7.870000   17.410000        0
   1     0.01  1563.31    16.00    20.00     7.960000  1000.000000 1000.000000        1
   1     0.01  1563.31    20.00     0.10     2.550000     2.850000    3.450000        0
   1     0.01  1563.31    20.00     0.20     2.680000     3.000000    3.680000        0
   1     0.01  1563.31    20.00     0.50     2.930000     3.310000    4.140000        0
   1     0.01  1563.31    20.00     1.00     3.220000     3.660000    4.700000        0
   1     0.01  1563.31    20.00     2.00     3.640000     4.210000    5.620000        0
   1     0.01  1563.31    20.00     5.00     4.580000     5.480000    8.040000        0
   1     0.01  1563.31    20.00    10.00     5.840000     7.290000   12.230000        0
   1     0.01  1563.31    20.00    20.00     8.000000    10.550000   22.190000        0
   1     0.10   278.00     1.00     0.10     1.170000     1.720000    2.750000        0
   1     0.10   278.00     1.00     0.20     1.310000     2.030000    3.630000        0
   1     0.10   278.00     1.00     0.50     1.570000     2.596876    5.723101        1
   1     0.10   278.00     1.00     1.00     1.740000     3.162321    9.332726        1
