Mass [Mearth]	Radius [Rearth]	WMF core [Mearth]	WMF mantle [Mearth]	WMF atm1 [Mearth]	WMF atm2 [Mearth]	total WMF	Teq [K]
0.499437336	1.498788314	3.68E-03	1.02E-02	0	9.18E-04	3.00E-02	1400
8.923169012	2.215872035	1.295691812	0.484512358	0	8.12E-03	0.199999995	1400
10.67542173	2.274495558	1.594484644	0.536794257	0	6.93E-03	0.199999995	1400
12.65245959	2.333331444	1.917646848	0.609079208	0	6.22E-03	0.199999995	1400
14.85607424	2.392900384	2.32703809	0.643987705	0	6.06E-03	0.199999995	1400
17.29952431	2.451526255	2.788717777	0.662213115	0	6.03E-03	0.199999995	1400
19.9910492	2.508813479	3.320983723	0.671799747	0	6.00E-03	0.199999995	1400
0.494675479	4.523334839	8.60E-03	6.80E-02	0	7.19E-02	0.299999994	1400
0.782901486	2.798122047	1.97E-02	0.130691114	0	8.46E-02	0.299999994	1400
1.15669882	2.389544645	4.05E-02	0.213146792	5.46E-03	8.81E-02	0.299999994	1400
1.63394225	2.244135551	8.00E-02	0.314179776	9.78E-03	8.64E-02	0.299999994	1400
2.226726714	2.19483605	0.149513938	0.426164701	9.53E-03	8.37E-02	0.299999994	1400
2.948103781	2.188122185	0.262371949	0.536223241	4.23E-03	8.03E-02	0.299999994	1400
3.809120574	2.199660275	0.437972273	0.631728139	0	7.20E-02	0.299999994	1400
4.829481941	2.230123006	0.678764921	0.709785591	0	5.90E-02	0.299999994	1400
6.009047024	2.268392669	0.989130614	0.76440261	0	4.66E-02	0.299999994	1400
7.3668615	2.312956024	1.366323514	0.804077049	0	3.61E-02	0.299999994	1400
8.928343305	2.362137783	1.804494342	0.841830651	0	2.81E-02	0.299999994	1400
10.676573	2.417765785	2.285370471	0.892132157	0	2.27E-02	0.299999994	1400
12.65410581	2.477995354	2.812065387	0.964361944	0	1.91E-02	0.299999994	1400
14.85190883	2.532107449	3.386578987	1.055773698	0	1.65E-02	0.299999994	1400
17.302936	2.589136638	3.996140734	1.186134501	0	1.50E-02	0.299999994	1400
19.99422694	2.65257022	4.608471444	1.379210229	0	1.45E-02	0.299999994	1400
1.158333792	2.63588873	4.06E-02	0.268557673	4.37E-02	0.11167264	0.399999993	1400
1.63395897	2.435490611	7.89E-02	0.413832962	5.10E-02	0.108428262	0.399999993	1400
2.227218123	2.363173393	0.150162242	0.583905356	5.45E-02	0.104757216	0.399999993	1400
2.948730476	2.342096813	0.270263144	0.75438358	5.26E-02	9.99E-02	0.399999993	1400
3.811276407	2.352858208	0.460709002	0.91875565	4.80E-02	9.52E-02	0.399999993	1400
4.832012456	2.380531136	0.739965704	1.062426035	3.99E-02	9.05E-02	0.399999993	1400
6.009319296	2.416450616	1.115372601	1.172451766	2.82E-02	8.59E-02	0.399999993	1400
7.37581565	2.459230109	1.599307135	1.255657758	1.38E-02	8.15E-02	0.399999993	1400
8.926584146	2.497237619	2.196178897	1.296530468	0	7.44E-02	0.399999993	1400
10.67959918	2.549584507	2.861941571	1.348489636	0	5.94E-02	0.399999993	1400
12.65487902	2.611858084	3.571759142	1.438403427	0	4.88E-02	0.399999993	1400
14.85516661	2.663750086	4.427478727	1.467368739	0	3.97E-02	0.399999993	1400
17.30257395	2.730759	5.284482937	1.604869748	0	3.50E-02	0.399999993	1400
20.00303126	2.782686888	6.261203251	1.711419113	0	3.01E-02	0.399999993	1400
0.774632915	3.673370805	1.64E-02	0.174606553	5.46E-02	0.142514347	0.499999993	1400
1.154915225	2.879332234	3.62E-02	0.330013377	7.16E-02	0.136970884	0.499999993	1400
1.633815871	2.618455161	7.26E-02	0.529499802	7.97E-02	0.132046307	0.499999993	1400
2.228041067	2.512596842	0.139809095	0.755428003	8.20E-02	0.125838829	0.499999993	1400
2.947782427	2.483755584	0.258696721	1.00496558	8.25E-02	0.120447983	0.499999993	1400
3.809784987	2.489128791	0.453710015	1.252246671	8.07E-02	0.114836237	0.499999993	1400
4.82552516	2.514300412	0.754327254	1.478320841	7.73E-02	0.109320345	0.499999993	1400
6.011841915	2.542847381	1.178558873	1.63280872	7.01E-02	0.102770953	0.499999993	1400
7.373348332	2.58713315	1.737692364	1.772994317	6.26E-02	9.78E-02	0.499999993	1400
8.925517934	2.633387222	2.472192358	1.854538003	5.35E-02	9.28E-02	0.499999993	1400
14.85446392	2.795909027	5.332320544	2.011739995	9.67E-03	8.10E-02	0.499999993	1400
17.3002155	2.84460668	6.669456739	1.988575816	0	5.59E-02	0.499999993	1400
20.00122699	2.913238503	7.779696634	2.162943057	0	6.32E-02	0.499999993	1400
0.500789619	1.280637878	3.87E-03	1.03E-02	0	8.32E-04	3.00E-02	1000
0.783113022	1.275541668	8.16E-03	1.47E-02	0	6.93E-04	3.00E-02	1000
1.157143568	1.308916838	1.57E-02	1.83E-02	0	5.10E-04	3.00E-02	1000
1.633932328	1.363176659	2.87E-02	2.01E-02	0	3.75E-04	3.00E-02	1000
2.22685695	1.430661619	4.87E-02	1.81E-02	0	2.92E-04	3.00E-02	1000
2.948346117	1.502622175	7.47E-02	1.49E-02	0	2.22E-04	3.00E-02	1000
3.811427397	1.575917638	0.103049904	1.14E-02	0	1.64E-04	3.00E-02	1000
4.82694699	1.651887859	0.135773745	9.32E-03	0	1.34E-04	3.00E-02	1000
6.009539687	1.729222374	0.172772069	8.44E-03	0	1.19E-04	3.00E-02	1000
7.369206032	1.806464984	0.213403493	7.75E-03	0	1.13E-04	3.00E-02	1000
8.932338041	1.883129126	0.260980618	7.71E-03	0	1.10E-04	3.00E-02	1000
10.67066461	1.953502547	0.31351788	7.56E-03	0	1.07E-04	3.00E-02	1000
12.65533459	2.025893646	0.373390547	7.07E-03	0	1.07E-04	3.00E-02	1000
14.84748671	2.094612852	0.439436388	7.14E-03	0	1.05E-04	3.00E-02	1000
17.31494192	2.163571229	0.511921163	6.92E-03	0	1.03E-04	3.00E-02	1000
20.00289819	2.228699605	0.594562985	7.21E-03	0	1.02E-04	3.00E-02	1000
0.498936005	1.722768301	7.11E-03	3.33E-02	0	9.05E-03	1.00E-01	1000
0.78306985	1.597219012	1.57E-02	5.31E-02	0	9.15E-03	1.00E-01	1000
1.156794145	1.575409147	3.16E-02	7.54E-02	0	8.42E-03	1.00E-01	1000
1.633939154	1.594115095	5.96E-02	9.65E-02	0	7.02E-03	1.00E-01	1000
2.226464844	1.631084813	0.103097546	0.113552754	0	5.36E-03	1.00E-01	1000
2.948519356	1.679139412	0.165189404	0.125553802	0	3.87E-03	1.00E-01	1000
3.811033511	1.734416149	0.244889569	0.134945292	0	2.77E-03	1.00E-01	1000
4.826728454	1.78588825	0.351239958	0.130177458	0	2.06E-03	1.00E-01	1000
6.008842748	1.843509599	0.481116372	0.118910451	0	1.74E-03	1.00E-01	1000
7.371350719	1.907691935	0.62488002	0.112588483	0	1.58E-03	1.00E-01	1000
8.924113064	1.977498816	0.782272436	0.110943025	0	1.52E-03	1.00E-01	1000
10.67806827	2.048105981	0.959902531	0.111641531	0	1.49E-03	1.00E-01	1000
12.65231	2.117635149	1.155749923	0.110084326	0	1.49E-03	1.00E-01	1000
14.85787661	2.18537962	1.37895097	0.111436675	0	1.49E-03	1.00E-01	1000
17.30197042	2.251504381	1.622661922	0.111854424	0	1.48E-03	1.00E-01	1000
19.99842738	2.317251841	1.896820221	0.107811077	0	1.48E-03	1.00E-01	1000
